"","LibID","Library","Year","Upper.Tier.Code","Legal.Name","New.Legal.Name","Mailing.Address","Postal.Code","City","Street.Address","Library.Web.Site.Address","Library.Service.Type","Population..Resident.","Households..Resident.","Population..Contracting.","Households..Contracting.","Date.year.starts","Date.year.ends","Ontario.Library.Service..OLS..Region","X..of.Active.Library.Cardholders","Net.Balance.brought.forward.amount","Net.Balance.brought.forward.type","Provincial.Operating.Funding","Local.Operating.Grant","Contract.Revenue","Project.Grants","Donations","Self.generated.Revenue","Debt.Services.and.Reserve.Fund.Revenues","Other.operating.revenue","Total.Operating.Revenues","Provincial.capital.revenues","Federal.capital.revenues","Local.capital.revenues","Other.capital.revenues","Total.Capital.Revenues","General.materials.expenditure","Electronic.materials.expenditure","Staffing.expenditure","Staff.Training.expenditure","Facilities.Utilities","Telephone.and.Fax","Dedicated.Internet.Connectivity.Costs","Computer.Services","Debt.Charges.and.Transfers.to.Reserve.Funds","Funds.returned.to.government.sources","Contract.payment.made.to.library.boards.for.library.services","Other.expenditures","Total.Operating.Expenditures","Total.Capital.Expenditures","Titles.Held..Reference..English.Language.","Titles.Held..Reference..French.Language.","Titles.Held..Reference..Other.Language.","Volumes.Held..Reference..English.Language.","Volumes.Held..Reference..French.Language.","Volumes.Held..Reference..Other.Language.","X..of.Databases..Reference..English.Language.","X..of.Databases..Reference..French.Language.","X..of.Databases..Reference..Other.Language.","X..of.CD.ROM.Titles..Reference..English.Language.","X..of.CD.ROM.Titles..Reference..French.Language.","X..of.CD.ROM.Titles..Reference..Other.Language.","X..of.copies.of.CD.ROM..Reference..English.Language.","X..of.copies.of.CD.ROM..Reference..French.Language.","X..of.copies.of.CD.ROM..Reference..Other.Language.","Titles.Held..Circulating..English.Language.","Titles.Held..Circulating..French.Language.","Titles.Held..Circulating..Other.Language.","Volumes.Held..Circulating..English.Language.","Volumes.Held..Circulating..French.Language.","Volumes.Held..Circulating..Other.Language.","X..of.CD.ROM.Titles..Circulating..English.Language.","X..of.CD.ROM.Titles..Circulating..French.Language.","X..of.CD.ROM.Titles..Circulating..Other.Language.","X..of.copies.of.CD.ROMs..Circulating..English.Language.","X..of.copies.of.CD.ROMs..Circulating..French.Language.","X..of.copies.of.CD.ROMs..Circulating..Other.Language.","Titles.Held..Periodicals..English.Language.","Titles.Held..Periodicals..French.Language.","Titles.Held..Periodicals..Other.Language.","X..of.Database.Subscriptions..Periodicals..English.Language.","X..of.Database.Subscriptions..Periodicals..French.Language.","X..of.Database.Subscriptions..Periodicals..Other.Language.","X..of.CD.ROM.Titles..Periodicals..English.Language.","X..of.CD.ROMs.Titles..Periodicals..French.Language.","X..of.CD.ROM.Titles..Periodicals..Other.Language.","X..of.copies.of.CD.ROMs..Periodicals..English.Language.","X..of.copies.of.CD.ROMs..Periodicals..French.Language.","X..of.copies.of.CD.ROMs..Periodicals..Other.Language.","X..of.individual.electronic.periodical.titles..English.Language.","X..of.individual.electronic.periodical.titles..French.Language.","X..of.individual.electronic.periodical.titles..Other.Language.","X..of.hours.per.week.in.an.FTE","Librarians..Full.Time....of.people.","Library.Technicians..Full.Time....of.people.","EXCEL.Graduates..Full.Time....of.people.","Other.staff..Full.Time....of.people.","Volunteers..Full.Time....of.people.","Librarians..Part.Time....of.people.","Librarians..Part.Time..Hours.worked.","Library.Technicians..Part.Time....of.people.","Library.Technicians..Part.Time..Hours.worked.","EXCEL.Graduates..Part.Time....of.people.","EXCEL.Graduates..Part.Time..Hours.worked.","Other.staff..Part.Time....of.people.","Other.staff..Part.Time..Hours.worked.","Volunteers..Part.Time....of.people.","Volunteers..Part.Time..Hours.worked.","X..of.Public.access.workstations","Workstations.with.internet.access","Workstations.with.OPAC.access","Workstations.with.CD.ROM.access","Automated.catalogue.available","Name.of.Automated.Catalogue.System","Does.your.library.provide.wireless.Internet.connection","X..of.Main.Libraries","Main.Library..total.hours.open.per.week","X..of.Branches.open...12.hours.per.week","Branches.open...12.hours.per.week..total.hours.open.per.week","X..of.Branches.open..12.hours.per.week","Branches.open..12.hours.per.week..total.hours.open.per.week","X..of.Bookmobile.stops","Bookmobile.hours.per.week","X..of.Deposit.Stations","Deposit.Station.hours.per.week","X..of.Bookmobiles","Total.Annual.Direct.Circulation","X..of.programs.held.annually","Annual.program.attendance","X..of.items.borrowed","X..of.items.lent","X..of.requests.made.to.other.libraries","X..of.requests.received.from.other.libraries","Typical.Week..Direct.circulation","Typical.Week..Materials.use.in.library","Typical.Week....of.people.using.library.workstations","Typical.Week....of.times.electronic.databases.accessed","No.of.people.using.public.library.wireless.connection","Typical.Week....of.standard.reference.transactions","Typical.Week....of.electronic.reference.transactions","Typical.Week....of.library.visits.made.in.person","Typical.Week....of.electronic.library.visits"
"1",5,"Addington Highlands Twp",2010,57,"Addington Highlands Twp","Township of Addington Highlands","Box 72","K0H1P0","Flinton","3641 Flinton Rd. Flinton, Ontario","www.addingtonhighlandspubliclibrary.ca","Public or Union Library",1900,2635,0,0,"01/01/2010","12/31/2010","SOLS",963,30232,"Surplus",11434,29460,0,17484,342,1480,0,6204,66404,0,0,0,0,0,8670,0,52836,548,5056,1905,4477,4180,0,0,6148,0,83820,9114,33,0,0,90,0,0,32,0,0,0,0,0,0,0,0,10901,28,0,11404,28,0,988,4,1,1025,8,1,19,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,1,10,4,23,10,20,12,12,12,12,"Yes","Mandarin",1,1,20,1,13,0,0,0,0,0,0,0,"10357",42,480,215,0,215,0,215,24,104,26,19,0,0,176,175
"2",3,"Adjala-TosorontioTwp",2010,70,"Adjala-TosorontioTwp","","7855 Sideroad 30, RR # 1","L9R1V1","Alliston","","www.townshipadjtos.on.ca","Contracting Municipality",10695,3913,0,0,"01/01/2010","12/31/2010","",0,0,"Nil",13821,31126,0,0,0,0,0,0,44947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44947,0,44947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,"Admaston - Bromley Public Library",2010,69,"Admaston - Bromley Public Library","Township of Admaston/Bromley","P O Box 130","K0J1S0","Douglas","5346 Highway 60","http://www.admastonbromleylibrary.com","Public or Union Library",2657,1371,0,0,"01/01/2010","12/31/2010","SOLS",454,11143,"Surplus",5518,8500,652,16506,0,288,0,1074,32538,0,0,0,0,0,2145,0,6724,0,1485,1385,749,466,0,0,0,14082,27036,0,25,2,0,82,2,0,32,0,0,1,0,0,1,0,0,8511,60,0,8536,60,0,190,0,0,190,0,0,20,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,0,0,2,12,2,2,7,6,1,6,"Yes","Stacks",1,1,12,0,0,0,0,0,0,0,0,0,"6600",17,253,21,0,21,0,132,10,8,0,2,11,0,180,42
"4",32,"Ajax",2010,10,"Ajax","","55 Harwood Ave. South","L1S2H8","Ajax","","www.townofajax.com/library/index.html","Public or Union Library",110455,33572,0,0,"01/01/2010","12/31/2010","SOLS",29930,-63257,"Deficit",154654,3191500,0,29118,4070,131283,0,2069,3512694,0,0,82711,0,82711,348916,26015,2803406,11380,332506,7701,0,67432,1256,0,0,60050,3658662,0,2087,0,0,5610,0,0,36,0,0,0,0,0,0,0,0,127842,7426,3659,168718,7957,3773,16189,599,1672,19726,650,1775,275,0,3,49,1,1,0,0,0,0,0,0,23797,23,0,35,4,2,0,10,0,0,0,0,0,0,0,51,950,0,0,54,33,17,33,"Yes","horizon",1,1,62,2,86,0,0,0,0,0,0,0,"872459",883,21892,1203,1311,1528,3250,14699,2223,1395,530,864,1216,4,6132,6771
"5",390,"Alderville FN",2010,61,"Alderville FN","","P.O. Box 46","K0K2X0","Roseneath","11696 Second Line Road, Alderville, Ontario","http://aldervillelearningcentre.com/index.php/library.html","First Nations Library",308,0,0,0,"04/01/2010","03/31/2011","SOLS",115,0,"Nil",1329,0,0,26336,4972,244,0,0,32881,0,0,0,0,0,9700,0,16324,1119,0,0,0,4543,0,0,0,578,32264,617,232,0,0,276,0,0,32,0,0,10,0,0,10,0,0,4632,0,0,4657,0,0,45,0,5,45,0,7,48,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,3,15,5,4,0,5,"Yes","Stacks",1,1,35,0,0,0,0,0,0,0,0,0,"2500",35,245,0,0,0,0,50,8,12,8,0,2,1,42,0
"6",4,"Alfred & Plantagenet Twp",2010,67,"Alfred & Plantagenet Twp","Township of Alfred & Plantagenet","C.P. 10","K0B1J0","Lefaivre","1963, rue de l'Hôtel de Ville, C.P. 10, Lefaivre ON","www.alfred-plantagenet.ca","Public or Union Library",7877,3944,0,0,"01/01/2010","12/31/2010","SOLS",1983,12916,"Surplus",15665,246886,0,14261,0,4080,2000,0,282892,0,0,0,0,0,52058,0,156159,1143,37384,5092,0,9440,0,0,0,2750,264026,0,26,136,0,58,425,0,32,0,0,0,0,0,0,0,0,8223,28845,0,10170,40112,0,946,350,0,1589,626,0,12,71,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,1,0,0,0,0,0,0,0,1,27,5,74.5,10,32,25,25,24,24,"Yes","Mandarin",1,0,0,5,76,0,0,0,0,0,0,0,"51523",87,1130,444,0,580,444,756,54,111,0,2,27,1,477,80
"7",391,"Algonquins of Pikwakanagon FN",2010,69,"Algonquins of Pikwakanagon FN","","1657A Mishomis Inamo","K0J1X0","Golden Lake","","www.algonquinsof pikwakanagan.com/Education%20library%20 2004.htm","First Nations Library",421,0,0,0,"04/01/2010","03/31/2011","SOLS",87,3803,"Surplus",2388,3712,0,24859,959,0,0,2257,34175,0,0,0,0,0,5335,0,19315,1806,121,948,2257,3800,0,160,0,4236,37978,0,12,0,0,212,0,0,32,0,0,36,0,0,36,0,0,5289,0,0,5339,0,0,106,0,0,106,0,0,15,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,6,6,0,6,"No","",0,1,20,0,0,0,0,0,0,0,0,0,"1350",6,188,0,0,0,0,85,108,29,0,0,3,0,30,0
"8",487,"Alnwick/Haldimand Twp",2010,61,"Alnwick/Haldimand Twp","","2363 County Road 23","K0K2G0","Grafton","","www.alnwickhaldimand.ca","Public or Union Library",6435,2858,0,0,"01/01/2010","12/31/2010","SOLS",1502,0,"Nil",16751,70165,0,38620,9323,960,0,530,136349,182900,182900,187685,0,553485,30861,2386,79988,1839,4017,2703,1474,4918,0,0,0,8163,136349,553485,152,0,0,298,0,0,32,0,0,0,0,0,0,0,0,31101,6,0,31101,6,0,1206,0,0,1206,0,0,45,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,0,0,10,96,0,0,9,9,0,9,"Yes","Winnebago Spectrum 5",1,0,0,3,43,0,0,0,0,0,0,0,"38710",53,376,665,140,716,613,839,212,42,0,14,50,2,214,0
"9",12,"Amaranth Twp",2010,43,"Amaranth Twp","","R.R. #7","L9W2Z3","Orangeville","374028 6th Line Amaranth","www.amaranth-eastgary.ca","Contracting Municipality",3483,1361,0,0,"04/01/2010","03/31/2011","",0,0,"Nil",5105,81210,0,0,0,0,0,0,86315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79863,6452,86315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",13,"Armstrong Twp",2010,90,"Armstrong Twp","","C.P. 39","P0J1E0","Earlton","35-10th Street","http://www.olsn.ca/armstrong","Public or Union Library",1155,500,803,845,"01/01/2010","12/31/2010","OLS-N",285,53526,"Surplus",2817,33898,2307,13276,8141,2997,0,600,64036,0,0,0,0,0,12995,1890,27533,186,3366,811,600,332,0,0,0,5287,53000,0,15,35,0,93,185,0,32,0,0,0,0,0,0,0,0,5807,6423,0,7419,7263,0,557,28,0,557,28,0,0,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,6,6,0,6,"Yes","Winnebago",1,1,26,0,0,0,0,0,0,0,0,0,"158866",1,161,179,0,222,0,201,0,10,0,1,0,0,117,0
