"","LibID","Library","Year","Upper.Tier.Code","Legal.Name","New.Legal.Name","Mailing.Address","Postal.Code","City","Street.Address","Library.Web.Site.Address","Library.Service.Type","Population..Resident.","Households..Resident.","Population..Contracting.","Households..Contracting.","Date.year.starts","Date.year.ends","Ontario.Library.Service..OLS..Region","X..of.Active.Library.Cardholders","Net.Balance.brought.forward.amount","Net.Balance.brought.forward.type","Provincial.Operating.Funding","Local.Operating.Grant","Contract.Revenue","Project.Grants","Donations","Self.generated.Revenue","Debt.Services.and.Reserve.Fund.Revenues","Other.operating.revenue","Total.Operating.Revenues","Provincial.capital.revenues","Federal.capital.revenues","Local.capital.revenues","Other.capital.revenues","Total.Capital.Revenues","General.materials.expenditure","Electronic.materials.expenditure","Staffing.expenditure","Staff.Training.expenditure","Facilities.Utilities","Telephone.and.Fax","Dedicated.Internet.Connectivity.Costs","Computer.Services","Debt.Charges.and.Transfers.to.Reserve.Funds","Funds.returned.to.government.sources","Contract.payment.made.to.library.boards.for.library.services","Other.expenditures","Total.Operating.Expenditures","Total.Capital.Expenditures","Titles.Held..Reference..English.Language.","Titles.Held..Reference..French.Language.","Titles.Held..Reference..Other.Language.","Volumes.Held..Reference..English.Language.","Volumes.Held..Reference..French.Language.","Volumes.Held..Reference..Other.Language.","X..of.Databases..Reference..English.Language.","X..of.Databases..Reference..French.Language.","X..of.Databases..Reference..Other.Language.","X..of.CD.ROM.Titles..Reference..English.Language.","X..of.CD.ROM.Titles..Reference..French.Language.","X..of.CD.ROM.Titles..Reference..Other.Language.","X..of.copies.of.CD.ROM..Reference..English.Language.","X..of.copies.of.CD.ROM..Reference..French.Language.","X..of.copies.of.CD.ROM..Reference..Other.Language.","Titles.Held..Circulating..English.Language.","Titles.Held..Circulating..French.Language.","Titles.Held..Circulating..Other.Language.","Volumes.Held..Circulating..English.Language.","Volumes.Held..Circulating..French.Language.","Volumes.Held..Circulating..Other.Language.","X..of.CD.ROM.Titles..Circulating..English.Language.","X..of.CD.ROM.Titles..Circulating..French.Language.","X..of.CD.ROM.Titles..Circulating..Other.Language.","X..of.copies.of.CD.ROMs..Circulating..English.Language.","X..of.copies.of.CD.ROMs..Circulating..French.Language.","X..of.copies.of.CD.ROMs..Circulating..Other.Language.","Titles.Held..Periodicals..English.Language.","Titles.Held..Periodicals..French.Language.","Titles.Held..Periodicals..Other.Language.","X..of.Database.Subscriptions..Periodicals..English.Language.","X..of.Database.Subscriptions..Periodicals..French.Language.","X..of.Database.Subscriptions..Periodicals..Other.Language.","X..of.CD.ROM.Titles..Periodicals..English.Language.","X..of.CD.ROMs.Titles..Periodicals..French.Language.","X..of.CD.ROM.Titles..Periodicals..Other.Language.","X..of.copies.of.CD.ROMs..Periodicals..English.Language.","X..of.copies.of.CD.ROMs..Periodicals..French.Language.","X..of.copies.of.CD.ROMs..Periodicals..Other.Language.","X..of.individual.electronic.periodical.titles..English.Language.","X..of.individual.electronic.periodical.titles..French.Language.","X..of.individual.electronic.periodical.titles..Other.Language.","X..of.hours.per.week.in.an.FTE","Librarians..Full.Time....of.people.","Library.Technicians..Full.Time....of.people.","EXCEL.Graduates..Full.Time....of.people.","Other.staff..Full.Time....of.people.","Volunteers..Full.Time....of.people.","Librarians..Part.Time....of.people.","Librarians..Part.Time..Hours.worked.","Library.Technicians..Part.Time....of.people.","Library.Technicians..Part.Time..Hours.worked.","EXCEL.Graduates..Part.Time....of.people.","EXCEL.Graduates..Part.Time..Hours.worked.","Other.staff..Part.Time....of.people.","Other.staff..Part.Time..Hours.worked.","Volunteers..Part.Time....of.people.","Volunteers..Part.Time..Hours.worked.","X..of.Public.access.workstations","Workstations.with.internet.access","Workstations.with.OPAC.access","Workstations.with.CD.ROM.access","Automated.catalogue.available","Name.of.Automated.Catalogue.System","Does.your.library.provide.wireless.Internet.connection","X..of.Main.Libraries","Main.Library..total.hours.open.per.week","X..of.Branches.open...12.hours.per.week","Branches.open...12.hours.per.week..total.hours.open.per.week","X..of.Branches.open..12.hours.per.week","Branches.open..12.hours.per.week..total.hours.open.per.week","X..of.Bookmobile.stops","Bookmobile.hours.per.week","X..of.Deposit.Stations","Deposit.Station.hours.per.week","X..of.Bookmobiles","Total.Annual.Direct.Circulation","X..of.programs.held.annually","Annual.program.attendance","X..of.items.borrowed","X..of.items.lent","X..of.requests.made.to.other.libraries","X..of.requests.received.from.other.libraries","Typical.Week..Direct.circulation","Typical.Week..Materials.use.in.library","Typical.Week....of.people.using.library.workstations","Typical.Week....of.times.electronic.databases.accessed","No.of.people.using.public.library.wireless.connection","Typical.Week....of.standard.reference.transactions","Typical.Week....of.electronic.reference.transactions","Typical.Week....of.library.visits.made.in.person","Typical.Week....of.electronic.library.visits"
"1",5,"Addington Highlands Twp",2008,57,"Addington Highlands Twp","Township of Addington Highlands","Box 72","K0H1P0","Flinton","3641 Flinton Rd. Flinton, Ontario","www.addingtonhighlandspubliclibrary.ca","Public or Union Library",2011,2635,0,0,"01/01/2008","12/31/2008","SOLS",887,0,"Nil",11434,21098,0,31406,686,1441,0,1644,67709,0,0,0,0,0,19378,0,47382,931,5756,1772,3691,2881,0,0,0,7846,89637,0,33,0,0,90,0,0,0,0,0,0,0,0,0,0,0,11328,0,0,11328,0,0,0,0,0,0,0,0,28,0,0,7,0,0,0,0,0,0,0,0,18498,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5,40,8,15,8,8,0,8,"No","",1,1,20,1,20,0,0,0,0,0,0,0,11340,45,534,103,0,103,0,225,0,29,0,0,0,0,179,246
"2",3,"Adjala-TosorontioTwp",2008,70,"Adjala-TosorontioTwp","","7855 Sideroad 30, RR # 1","L9R1V1","Alliston","","www.townshipadjtos.on.ca","Contracting Municipality",10695,4032,0,0,"01/01/2008","12/31/2008","",0,0,"Nil",13821,26279,0,0,0,0,0,0,40100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40100,0,40100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,"Admaston - Bromley Public Library",2008,69,"Admaston - Bromley Public Library","Township of Admaston/Bromley","P O Box 130","K0J1S0","Douglas","5346 Highway 60","http://www.admastonbromleylibrary.com","Public or Union Library",2713,1345,0,0,"01/01/2008","12/31/2008","SOLS",510,10624,"Surplus",5518,5500,652,5196,0,1333,0,3663,21862,18601,0,0,0,18601,5334,300,12763,0,1515,1200,551,2281,0,0,0,20161,44105,0,25,5,0,85,5,0,0,0,0,5,0,0,5,0,0,8000,52,0,8150,52,0,5,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,4,0,0,0,0,0,0,3,12,1,3,8,6,6,5,"Yes","Stacks",1,1,12,0,0,0,0,0,0,0,0,0,8550,15,250,0,0,0,0,223,58,75,0,0,28,80,125,0
"4",32,"Ajax",2008,10,"Ajax","","55 Harwood Ave. South","L1S2H8","Ajax","","www.townofajax.com/library/index.html","Public or Union Library",97277,32076,0,0,"01/01/2008","12/31/2008","SOLS",55422,219229,"Surplus",154654,3008700,0,0,1219,129679,0,12267,3306519,0,0,99472,0,99472,455715,27471,2402789,24637,285046,11926,0,43498,0,0,0,0,3251082,99472,2606,16,0,6225,149,0,0,0,0,0,0,0,0,0,0,150141,7150,4757,207947,7777,5049,358,0,0,419,0,0,270,0,3,32,0,0,0,0,0,0,0,0,20000,0,0,35,4,2,0,8,0,0,0,0,0,0,0,54,1378,0,0,50,32,18,0,"Yes","HORIZON",1,1,62,2,84,0,0,0,0,0,0,0,864136,799,19273,571,1406,662,3158,17521,2878,473,333,0,1387,2,7803,0
"5",390,"Alderville FN",2008,61,"Alderville FN","","P.O. Box 46","K0K2X0","Roseneath","11696 Second Line Road, Alderville, Ontario","http://aldervillelearningcentre.com/index.php/library.html","First Nations Library",314,0,0,0,"04/01/2008","03/31/2009","SOLS",90,0,"Nil",1329,6075,0,21584,5298,548,0,1200,36034,0,0,0,0,0,1358,0,23268,983,0,0,1200,355,0,0,0,8870,36034,0,243,0,0,273,0,0,0,0,0,10,0,0,10,0,0,4495,0,0,4525,0,0,26,0,0,28,0,0,20,0,0,7,0,0,0,0,0,0,0,0,18498,13,0,35,0,0,0,1,0,0,0,0,0,0,0,1,35,0,0,5,4,3,5,"Yes","STACKS Duncan Systems",0,1,35,0,0,0,0,0,0,0,0,0,1900,2,21,17,0,17,0,38,40,9,0,0,0,0,35,0
"6",4,"Alfred & Plantagenet Twp",2008,67,"Alfred & Plantagenet Twp","Township of Alfred & Plantagenet","C.P. 10","K0B1J0","Lefaivre","1963, rue de l'Hôtel de Ville, C.P. 10, Lefaivre ON","www.alfred-plantagenet.ca","Public or Union Library",8074,3775,0,0,"01/01/2008","12/31/2008","SOLS",1720,23994,"Surplus",15665,217249,0,27656,1000,4471,2000,0,268041,0,0,0,0,0,71519,0,134061,1182,47278,4731,0,8705,0,0,0,685,268161,0,91,181,3,134,418,3,0,0,0,1,1,0,1,1,0,8680,41893,0,8953,43449,0,30,37,0,30,37,0,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,1,27,6,61,12,0,25,25,24,24,"Yes","Mandarin",0,0,0,3,43,2,19,0,0,0,0,0,48490,300,1382,299,0,392,0,1112,70,69,12,0,22,1,425,15
"7",391,"Algonquins of Pikwakanagon FN",2008,69,"Algonquins of Pikwakanagon FN","","1657A Mishomis Inamo","K0J1X0","Golden Lake","","www.algonquinsof pikwakanagan.com/Education%20library%20 2004.htm","First Nations Library",405,0,0,0,"04/01/2008","03/31/2009","SOLS",170,5257,"Surplus",2388,0,0,18000,0,0,0,2160,22548,0,0,0,0,0,2000,0,18254,967,0,830,2160,2905,0,0,120,87,27323,0,12,0,0,212,0,0,0,0,0,49,0,0,49,0,0,4749,0,0,4799,0,0,0,0,0,0,0,0,14,0,0,7,0,0,0,0,0,0,0,0,18498,13,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,6,6,0,6,"Yes","winebego spectra",0,1,20,0,0,0,0,0,0,0,0,0,4749,50,361,0,0,0,0,75,89,29,0,0,3,0,39,0
"8",487,"Alnwick/Haldimand Twp",2008,61,"Alnwick/Haldimand Twp","","2363 County Road 23","K0K2G0","Grafton","","www.alnwickhaldimand.ca","Public or Union Library",6435,2858,0,0,"01/01/2008","12/31/2008","SOLS",1250,0,"Nil",16751,137845,0,720,344,1888,0,869,158417,0,0,10000,0,10000,30896,744,70171,1189,4747,2592,2139,489,38428,0,0,7022,158417,0,292,0,0,659,0,0,1,0,0,51,1,0,51,1,0,34108,10,0,34108,10,0,0,0,0,0,0,0,44,0,0,7,0,0,0,0,0,0,0,0,18498,0,0,35,0,0,0,0,0,0,0,0,0,0,0,6,79,6,10,8,8,0,8,"Yes","Wiinebago Spectrum 5",1,0,0,3,43,0,0,0,0,0,0,0,40321,80,968,605,0,665,0,1023,386,55,0,2,65,10,345,0
"9",12,"Amaranth Twp",2008,43,"Amaranth Twp","","R.R. #7","L9W2Z3","Orangeville","374028 6th Line Amaranth","www.amaranth-eastgary.ca","Contracting Municipality",3462,1333,0,0,"01/01/2008","12/31/2008","",0,0,"Nil",5105,73915,0,0,0,0,0,0,79020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74445,4575,79020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",13,"Armstrong Twp",2008,90,"Armstrong Twp","","C.P. 39","P0J1E0","Earlton","35-10th Street","http://www.olsn.ca/armstrong","Public or Union Library",1155,500,889,393,"01/01/2008","12/31/2008","OLS-N",733,37999,"Surplus",2817,28831,1836,0,3170,3170,0,600,40424,0,0,0,0,0,2427,1149,23532,0,110,751,600,183,0,0,0,2826,31578,0,15,21,0,66,127,0,0,0,0,0,0,0,0,0,0,5983,5821,0,6660,6755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,6,6,0,6,"Yes","Winnebago DOS",0,1,23,0,0,0,0,0,0,0,0,0,139731,1,540,180,0,208,180,262,1,9,0,0,13,0,96,0
