"","LibID","Library","Year","Upper.Tier.Code","Legal.Name","New.Legal.Name","Mailing.Address","Postal.Code","City","Street.Address","Library.Web.Site.Address","Library.Service.Type","Population..Resident.","Households..Resident.","Population..Contracting.","Households..Contracting.","Date.year.starts","Date.year.ends","Ontario.Library.Service..OLS..Region","X..of.Active.Library.Cardholders","Net.Balance.brought.forward.amount","Net.Balance.brought.forward.type","Provincial.Operating.Funding","Local.Operating.Grant","Contract.Revenue","Project.Grants","Donations","Self.generated.Revenue","Debt.Services.and.Reserve.Fund.Revenues","Other.operating.revenue","Total.Operating.Revenues","Provincial.capital.revenues","Federal.capital.revenues","Local.capital.revenues","Other.capital.revenues","Total.Capital.Revenues","General.materials.expenditure","Electronic.materials.expenditure","Staffing.expenditure","Staff.Training.expenditure","Facilities.Utilities","Telephone.and.Fax","Dedicated.Internet.Connectivity.Costs","Computer.Services","Debt.Charges.and.Transfers.to.Reserve.Funds","Funds.returned.to.government.sources","Contract.payment.made.to.library.boards.for.library.services","Other.expenditures","Total.Operating.Expenditures","Total.Capital.Expenditures","Titles.Held..Reference..English.Language.","Titles.Held..Reference..French.Language.","Titles.Held..Reference..Other.Language.","Volumes.Held..Reference..English.Language.","Volumes.Held..Reference..French.Language.","Volumes.Held..Reference..Other.Language.","X..of.Databases..Reference..English.Language.","X..of.Databases..Reference..French.Language.","X..of.Databases..Reference..Other.Language.","X..of.CD.ROM.Titles..Reference..English.Language.","X..of.CD.ROM.Titles..Reference..French.Language.","X..of.CD.ROM.Titles..Reference..Other.Language.","X..of.copies.of.CD.ROM..Reference..English.Language.","X..of.copies.of.CD.ROM..Reference..French.Language.","X..of.copies.of.CD.ROM..Reference..Other.Language.","Titles.Held..Circulating..English.Language.","Titles.Held..Circulating..French.Language.","Titles.Held..Circulating..Other.Language.","Volumes.Held..Circulating..English.Language.","Volumes.Held..Circulating..French.Language.","Volumes.Held..Circulating..Other.Language.","X..of.CD.ROM.Titles..Circulating..English.Language.","X..of.CD.ROM.Titles..Circulating..French.Language.","X..of.CD.ROM.Titles..Circulating..Other.Language.","X..of.copies.of.CD.ROMs..Circulating..English.Language.","X..of.copies.of.CD.ROMs..Circulating..French.Language.","X..of.copies.of.CD.ROMs..Circulating..Other.Language.","Titles.Held..Periodicals..English.Language.","Titles.Held..Periodicals..French.Language.","Titles.Held..Periodicals..Other.Language.","X..of.Database.Subscriptions..Periodicals..English.Language.","X..of.Database.Subscriptions..Periodicals..French.Language.","X..of.Database.Subscriptions..Periodicals..Other.Language.","X..of.CD.ROM.Titles..Periodicals..English.Language.","X..of.CD.ROMs.Titles..Periodicals..French.Language.","X..of.CD.ROM.Titles..Periodicals..Other.Language.","X..of.copies.of.CD.ROMs..Periodicals..English.Language.","X..of.copies.of.CD.ROMs..Periodicals..French.Language.","X..of.copies.of.CD.ROMs..Periodicals..Other.Language.","X..of.individual.electronic.periodical.titles..English.Language.","X..of.individual.electronic.periodical.titles..French.Language.","X..of.individual.electronic.periodical.titles..Other.Language.","X..of.hours.per.week.in.an.FTE","Librarians..Full.Time....of.people.","Library.Technicians..Full.Time....of.people.","EXCEL.Graduates..Full.Time....of.people.","Other.staff..Full.Time....of.people.","Volunteers..Full.Time....of.people.","Librarians..Part.Time....of.people.","Librarians..Part.Time..Hours.worked.","Library.Technicians..Part.Time....of.people.","Library.Technicians..Part.Time..Hours.worked.","EXCEL.Graduates..Part.Time....of.people.","EXCEL.Graduates..Part.Time..Hours.worked.","Other.staff..Part.Time....of.people.","Other.staff..Part.Time..Hours.worked.","Volunteers..Part.Time....of.people.","Volunteers..Part.Time..Hours.worked.","X..of.Public.access.workstations","Workstations.with.internet.access","Workstations.with.OPAC.access","Workstations.with.CD.ROM.access","Automated.catalogue.available","Name.of.Automated.Catalogue.System","Does.your.library.provide.wireless.Internet.connection","X..of.Main.Libraries","Main.Library..total.hours.open.per.week","X..of.Branches.open...12.hours.per.week","Branches.open...12.hours.per.week..total.hours.open.per.week","X..of.Branches.open..12.hours.per.week","Branches.open..12.hours.per.week..total.hours.open.per.week","X..of.Bookmobile.stops","Bookmobile.hours.per.week","X..of.Deposit.Stations","Deposit.Station.hours.per.week","X..of.Bookmobiles","Total.Annual.Direct.Circulation","X..of.programs.held.annually","Annual.program.attendance","X..of.items.borrowed","X..of.items.lent","X..of.requests.made.to.other.libraries","X..of.requests.received.from.other.libraries","Typical.Week..Direct.circulation","Typical.Week..Materials.use.in.library","Typical.Week....of.people.using.library.workstations","Typical.Week....of.times.electronic.databases.accessed","No.of.people.using.public.library.wireless.connection","Typical.Week....of.standard.reference.transactions","Typical.Week....of.electronic.reference.transactions","Typical.Week....of.library.visits.made.in.person","Typical.Week....of.electronic.library.visits"
"1",5,"Addington Highlands Twp",2005,57,"Addington Highlands Twp","Township of Addington Highlands","Box 72","K0H1P0","Flinton","3641 Flinton Rd. Flinton, Ontario","www.addingtonhighlandspubliclibrary.ca","Public or Union Library",2099,2600,0,0,"01/01/2005","12/31/2005","SOLS",697,1777,"Surplus",11434,16800,0,16759,500,3159,0,789,49441,0,0,0,42600,42600,8380,0,22083,310,1868,1818,3347,5863,0,0,0,1463,45132,37758,38,0,0,160,0,0,0,0,0,0,0,0,0,0,0,13310,10,0,13310,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4,20,5,10,6,6,0,6,"No","",0,1,10,0,0,1,12,0,0,0,0,0,6834,32,501,108,0,108,0,159,0,21,0,0,0,0,125,0
"2",3,"Adjala-TosorontioTwp",2005,70,"Adjala-TosorontioTwp","","7855 Sideroad 30, RR # 1","L9R1V1","Alliston","","www.townshipadjtos.on.ca","Contracting Municipality",9381,4032,0,0,"01/01/2005","12/31/2005","",0,0,"Nil",13821,23390,0,0,0,0,0,0,37211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37211,0,37211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,"Admaston - Bromley Public Library",2005,69,"Admaston - Bromley Public Library","Township of Admaston/Bromley","P O Box 130","K0J1S0","Douglas","5346 Highway 60","http://www.admastonbromleylibrary.com","Public or Union Library",2785,1293,0,0,"01/01/2005","12/31/2005","SOLS",468,7998,"Surplus",5518,4000,651,2592,200,174,0,568,13703,0,0,0,0,0,4211,0,2717,315,1198,900,409,1748,0,0,0,2802,14300,0,50,0,0,150,0,0,0,0,0,5,0,0,5,0,0,6000,100,0,6050,100,0,5,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,10,1,2,5,5,0,5,"No","",0,1,10,0,0,0,0,0,0,0,0,0,11505,6,305,0,0,0,0,342,46,141,0,0,23,6,223,0
"4",32,"Ajax",2005,10,"Ajax","","55 Harwood Ave. South","L1S2H8","Ajax","","www.townofajax.com/library/index.html","Public or Union Library",74907,26035,0,0,"01/01/2005","12/31/2005","SOLS",50762,129493,"Surplus",154654,2567345,0,9483,86,104670,0,9684,2845922,0,0,11510,0,11510,303674,44540,1986104,27931,429453,24203,0,19669,0,0,0,0,2835574,11510,2574,14,0,5662,157,0,0,0,0,0,0,0,0,0,0,128667,4444,3527,171926,4925,3763,412,0,0,495,0,0,224,2,4,24,0,0,0,0,0,0,0,0,18691,0,0,35,4,2,0,7,0,0,0,0,0,0,0,54,728,0,0,53,37,16,0,"Yes","Horizon",0,1,62,2,86,0,0,0,0,0,0,0,675400,1068,16317,600,828,687,6087,13204,2248,1456,130,0,1106,243,6375,2072
"5",390,"Alderville FN",2005,61,"Alderville FN","","P.O. Box 46","K0K2X0","Roseneath","11696 Second Line Road, Alderville, Ontario","http://aldervillelearningcentre.com/index.php/library.html","First Nations Library",303,0,0,0,"04/01/2005","03/31/2006","SOLS",117,0,"Nil",1329,4426,0,19065,6524,741,0,0,32085,0,0,0,0,0,4714,0,19513,893,2590,1100,400,1771,0,71,0,1033,32085,0,284,0,0,322,0,0,0,0,0,5,0,0,5,0,0,4149,0,469,4240,0,513,17,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,1,20,1,1,4,4,4,4,"Yes","STACKS",0,1,20,0,0,0,0,0,0,0,0,0,2045,24,428,79,0,112,0,277,36,11,0,0,2,0,37,0
"6",4,"Alfred & Plantagenet Twp",2005,67,"Alfred & Plantagenet Twp","Township of Alfred & Plantagenet","C.P. 10","K0B1J0","Lefaivre","1963, rue de l'Hôtel de Ville, C.P. 10, Lefaivre ON","www.alfred-plantagenet.ca","Public or Union Library",8002,3596,0,0,"01/01/2005","12/31/2005","SOLS",2213,20988,"Surplus",15665,142263,0,0,1020,3928,2000,0,164876,0,0,0,0,0,36092,0,92309,2156,30852,3931,0,8755,0,0,0,515,174610,7026,28,161,1,240,558,1,0,0,0,1,1,0,1,1,0,5481,29009,0,5949,36915,0,0,0,0,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1,25,1,16,7,64,5,11,23,23,20,23,"Yes","Mandarin",0,0,0,3,43,2,19,0,0,0,0,0,29798,11,180,30,0,50,0,1987,277,88,19,0,16,9,301,16
"7",391,"Algonquins of Pikwakanagon FN",2005,69,"Algonquins of Pikwakanagon FN","","1657A Mishomis Inamo","K0J1X0","Golden Lake","","www.algonquinsof pikwakanagan.com/Education%20library%20 2004.htm","First Nations Library",408,0,0,0,"04/01/2005","03/31/2006","SOLS",157,0,"Nil",2388,16844,0,13000,0,0,0,0,32232,0,0,0,0,0,1500,0,16340,412,135,1485,0,290,0,12070,0,0,32232,0,12,0,0,212,0,0,0,0,0,49,0,0,49,0,0,4125,0,0,4160,0,0,122,0,0,122,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,1,20,0,0,6,6,0,6,"Yes","winnabego",0,1,20,0,0,0,0,0,0,0,0,0,1098,54,414,0,0,0,0,34,0,13,4,0,0,0,17,0
"8",487,"Alnwick/Haldimand Twp",2005,61,"Alnwick/Haldimand Twp","","2363 County Road 23","K0K2G0","Grafton","","www.alnwickhaldimand.ca","Public or Union Library",5527,2939,0,0,"01/01/2005","12/31/2005","SOLS",858,0,"Nil",16751,84302,0,0,369,2403,0,0,103825,0,0,10000,0,10000,33948,0,49580,1736,1851,4176,830,2925,0,0,0,8779,103825,0,202,0,0,502,0,0,0,0,0,5,0,0,5,0,0,30741,0,0,30741,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1,30,0,0,4,39,1,2,5,5,0,5,"Yes","Winnebago Spectrum 5",0,0,0,3,40,0,0,0,0,0,0,0,21761,58,390,465,0,479,0,667,366,44,0,0,15,5,233,0
"9",12,"Amaranth Twp",2005,43,"Amaranth Twp","","R.R. #7","L9W2Z3","Orangeville","374028 6th Line Amaranth","www.amaranth-eastgary.ca","Contracting Municipality",3570,1294,0,0,"01/01/2005","12/31/2005","",0,0,"Nil",5105,72491,0,0,0,0,0,4786,82382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67415,5395,72810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",13,"Armstrong Twp",2005,90,"Armstrong Twp","","C.P. 39","P0J1E0","Earlton","35-10th Street","http://www.olsn.ca/armstrong","Public or Union Library",1265,524,337,142,"01/01/2005","12/31/2005","OLS-N",913,24430,"Surplus",2817,20979,861,0,4300,2364,0,0,31321,0,0,0,0,0,4652,569,16453,0,2326,2646,0,1388,0,0,0,0,28034,0,26,77,0,188,351,0,0,0,0,0,0,0,0,0,0,927,868,0,5432,5703,0,0,0,0,0,0,0,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,18,0,0,0,0,1,15,0,0,8,8,2,8,"Yes","Winnabego DOS",0,1,29,0,0,0,0,0,0,0,0,0,93836,0,0,0,0,76,52,508,98,11,0,0,21,0,119,0
