"","LibID","Library","Year","Upper.Tier.Code","Legal.Name","New.Legal.Name","Mailing.Address","Postal.Code","City","Street.Address","Library.Web.Site.Address","Library.Service.Type","Population..Resident.","Households..Resident.","Population..Contracting.","Households..Contracting.","Date.year.starts","Date.year.ends","Ontario.Library.Service..OLS..Region","X..of.Active.Library.Cardholders","Net.Balance.brought.forward.amount","Net.Balance.brought.forward.type","Provincial.Operating.Funding","Local.Operating.Grant","Contract.Revenue","Project.Grants","Donations","Self.generated.Revenue","Debt.Services.and.Reserve.Fund.Revenues","Other.operating.revenue","Total.Operating.Revenues","Provincial.capital.revenues","Federal.capital.revenues","Local.capital.revenues","Other.capital.revenues","Total.Capital.Revenues","General.materials.expenditure","Electronic.materials.expenditure","Staffing.expenditure","Staff.Training.expenditure","Facilities.Utilities","Telephone.and.Fax","Dedicated.Internet.Connectivity.Costs","Computer.Services","Debt.Charges.and.Transfers.to.Reserve.Funds","Funds.returned.to.government.sources","Contract.payment.made.to.library.boards.for.library.services","Other.expenditures","Total.Operating.Expenditures","Total.Capital.Expenditures","Titles.Held..Reference..English.Language.","Titles.Held..Reference..French.Language.","Titles.Held..Reference..Other.Language.","Volumes.Held..Reference..English.Language.","Volumes.Held..Reference..French.Language.","Volumes.Held..Reference..Other.Language.","X..of.Databases..Reference..English.Language.","X..of.Databases..Reference..French.Language.","X..of.Databases..Reference..Other.Language.","X..of.CD.ROM.Titles..Reference..English.Language.","X..of.CD.ROM.Titles..Reference..French.Language.","X..of.CD.ROM.Titles..Reference..Other.Language.","X..of.copies.of.CD.ROM..Reference..English.Language.","X..of.copies.of.CD.ROM..Reference..French.Language.","X..of.copies.of.CD.ROM..Reference..Other.Language.","Titles.Held..Circulating..English.Language.","Titles.Held..Circulating..French.Language.","Titles.Held..Circulating..Other.Language.","Volumes.Held..Circulating..English.Language.","Volumes.Held..Circulating..French.Language.","Volumes.Held..Circulating..Other.Language.","X..of.CD.ROM.Titles..Circulating..English.Language.","X..of.CD.ROM.Titles..Circulating..French.Language.","X..of.CD.ROM.Titles..Circulating..Other.Language.","X..of.copies.of.CD.ROMs..Circulating..English.Language.","X..of.copies.of.CD.ROMs..Circulating..French.Language.","X..of.copies.of.CD.ROMs..Circulating..Other.Language.","Titles.Held..Periodicals..English.Language.","Titles.Held..Periodicals..French.Language.","Titles.Held..Periodicals..Other.Language.","X..of.Database.Subscriptions..Periodicals..English.Language.","X..of.Database.Subscriptions..Periodicals..French.Language.","X..of.Database.Subscriptions..Periodicals..Other.Language.","X..of.CD.ROM.Titles..Periodicals..English.Language.","X..of.CD.ROMs.Titles..Periodicals..French.Language.","X..of.CD.ROM.Titles..Periodicals..Other.Language.","X..of.copies.of.CD.ROMs..Periodicals..English.Language.","X..of.copies.of.CD.ROMs..Periodicals..French.Language.","X..of.copies.of.CD.ROMs..Periodicals..Other.Language.","X..of.individual.electronic.periodical.titles..English.Language.","X..of.individual.electronic.periodical.titles..French.Language.","X..of.individual.electronic.periodical.titles..Other.Language.","X..of.hours.per.week.in.an.FTE","Librarians..Full.Time....of.people.","Library.Technicians..Full.Time....of.people.","EXCEL.Graduates..Full.Time....of.people.","Other.staff..Full.Time....of.people.","Volunteers..Full.Time....of.people.","Librarians..Part.Time....of.people.","Librarians..Part.Time..Hours.worked.","Library.Technicians..Part.Time....of.people.","Library.Technicians..Part.Time..Hours.worked.","EXCEL.Graduates..Part.Time....of.people.","EXCEL.Graduates..Part.Time..Hours.worked.","Other.staff..Part.Time....of.people.","Other.staff..Part.Time..Hours.worked.","Volunteers..Part.Time....of.people.","Volunteers..Part.Time..Hours.worked.","X..of.Public.access.workstations","Workstations.with.internet.access","Workstations.with.OPAC.access","Workstations.with.CD.ROM.access","Automated.catalogue.available","Name.of.Automated.Catalogue.System","Does.your.library.provide.wireless.Internet.connection","X..of.Main.Libraries","Main.Library..total.hours.open.per.week","X..of.Branches.open...12.hours.per.week","Branches.open...12.hours.per.week..total.hours.open.per.week","X..of.Branches.open..12.hours.per.week","Branches.open..12.hours.per.week..total.hours.open.per.week","X..of.Bookmobile.stops","Bookmobile.hours.per.week","X..of.Deposit.Stations","Deposit.Station.hours.per.week","X..of.Bookmobiles","Total.Annual.Direct.Circulation","X..of.programs.held.annually","Annual.program.attendance","X..of.items.borrowed","X..of.items.lent","X..of.requests.made.to.other.libraries","X..of.requests.received.from.other.libraries","Typical.Week..Direct.circulation","Typical.Week..Materials.use.in.library","Typical.Week....of.people.using.library.workstations","Typical.Week....of.times.electronic.databases.accessed","No.of.people.using.public.library.wireless.connection","Typical.Week....of.standard.reference.transactions","Typical.Week....of.electronic.reference.transactions","Typical.Week....of.library.visits.made.in.person","Typical.Week....of.electronic.library.visits"
"1",5,"Addington Highlands Twp",2009,57,"Addington Highlands Twp","Township of Addington Highlands","Box 72","K0H1P0","Flinton","3641 Flinton Rd. Flinton, Ontario","www.addingtonhighlandspubliclibrary.ca","Public or Union Library",2011,2635,0,0,"01/01/2009","12/31/2009","SOLS",983,19128,"Surplus",11434,31785,0,44349,616,1956,0,2977,93117,0,0,0,52000,52000,12283,0,46935,770,5461,1914,6453,16855,5000,0,0,7223,102894,31403,33,0,0,90,0,0,32,0,0,0,0,0,0,0,0,8543,0,0,9843,0,0,659,2,1,719,4,1,16,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,1,12,4,28,9,20,12,12,0,12,"No","",1,1,20,1,20,0,0,0,0,0,0,0,12036,47,538,180,0,180,0,260,0,26,0,8,0,0,162,263
"2",3,"Adjala-TosorontioTwp",2009,70,"Adjala-TosorontioTwp","","7855 Sideroad 30, RR # 1","L9R1V1","Alliston","","www.townshipadjtos.on.ca","Contracting Municipality",10695,3913,0,0,"01/01/2009","12/31/2009","",0,0,"Nil",13821,30867,0,0,0,0,0,0,44688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44688,0,44688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,"Admaston - Bromley Public Library",2009,69,"Admaston - Bromley Public Library","Township of Admaston/Bromley","P O Box 130","K0J1S0","Douglas","5346 Highway 60","http://www.admastonbromleylibrary.com","Public or Union Library",2705,1353,0,0,"01/01/2009","12/31/2009","SOLS",390,14279,"Surplus",5518,5500,652,8917,500,419,0,1645,23151,0,0,0,0,0,7320,0,7678,504,1560,1103,1732,1707,0,0,0,12494,34098,0,25,2,0,82,2,0,8,0,0,1,0,0,1,0,0,7686,52,0,7700,52,0,50,0,0,50,0,0,12,0,0,11,0,0,0,0,0,0,0,0,22192,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,12,2,2,8,7,6,5,"Yes","Stacks",1,1,12,0,0,0,0,0,0,0,0,0,6049,17,250,0,0,0,0,136,49,22,0,0,0,0,95,0
"4",32,"Ajax",2009,10,"Ajax","","55 Harwood Ave. South","L1S2H8","Ajax","","www.townofajax.com/library/index.html","Public or Union Library",98842,32610,0,0,"01/01/2009","12/31/2009","SOLS",30309,68000,"Surplus",154654,3120800,0,3786,1550,130036,0,2933,3413759,0,0,101171,0,101171,321578,26833,2609731,7543,261383,7499,0,48494,0,0,0,274371,3557432,0,2632,8,0,6234,130,0,1,0,0,0,0,0,0,0,0,155132,7501,4206,207731,8175,4400,7596,467,1053,9745,517,1133,273,0,0,16,0,0,0,0,0,0,0,0,19000,0,0,35,4,2,0,10,0,0,0,0,0,0,0,53,950,0,0,53,32,18,0,"Yes","HORIZON",1,1,62,2,84,0,0,0,0,0,0,0,923284,799,20429,735,2031,874,5733,18322,3138,1294,3110,0,607,5,8982,6691
"5",390,"Alderville FN",2009,61,"Alderville FN","","P.O. Box 46","K0K2X0","Roseneath","11696 Second Line Road, Alderville, Ontario","http://aldervillelearningcentre.com/index.php/library.html","First Nations Library",305,0,0,0,"04/01/2009","03/31/2010","SOLS",94,0,"Nil",1329,7719,0,15769,708,341,0,3250,29116,0,0,0,0,0,2005,140,17870,1875,0,0,3250,842,0,0,0,670,26652,2464,243,0,0,273,0,0,32,0,0,10,0,0,10,0,0,4326,0,0,4356,0,0,32,0,0,34,0,0,20,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,3,15,5,4,0,5,"Yes","Stacks",1,1,35,0,0,0,0,0,0,0,0,0,1750,26,166,0,0,0,0,35,40,10,5,0,2,0,25,0
"6",4,"Alfred & Plantagenet Twp",2009,67,"Alfred & Plantagenet Twp","Township of Alfred & Plantagenet","C.P. 10","K0B1J0","Lefaivre","1963, rue de l'Hôtel de Ville, C.P. 10, Lefaivre ON","www.alfred-plantagenet.ca","Public or Union Library",8185,3880,0,0,"01/01/2009","12/31/2009","SOLS",1654,23874,"Surplus",15665,209905,0,19008,1000,5081,2000,0,252659,0,0,0,0,0,54257,0,147187,5110,42185,5011,0,9104,0,0,0,765,263619,0,49,180,0,133,449,0,6,6,0,26,29,0,26,29,0,8872,44122,0,9145,44689,0,1208,467,0,1208,467,0,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,1,27,6,67.5,16,0,25,25,24,24,"Yes","Mandarin",0,0,0,3,48,2,19,0,0,0,0,0,50072,74,1351,331,0,455,331,1019,86,120,4,0,29,2,460,84
"7",391,"Algonquins of Pikwakanagon FN",2009,69,"Algonquins of Pikwakanagon FN","","1657A Mishomis Inamo","K0J1X0","Golden Lake","","www.algonquinsof pikwakanagan.com/Education%20library%20 2004.htm","First Nations Library",428,0,0,0,"04/01/2009","03/31/2010","SOLS",150,-4775,"Deficit",2388,0,0,26827,0,0,0,3250,32465,0,0,0,0,0,2322,0,18152,1924,114,864,3250,590,0,0,0,1446,28662,0,12,0,0,212,0,0,4031,0,0,36,0,0,36,0,0,4834,0,0,4884,0,0,106,0,0,106,0,0,14,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,6,6,0,6,"Yes","winnebago spectrum",0,1,20,0,0,0,0,0,0,0,0,0,4550,3,38,0,0,0,0,91,104,30,0,0,5,0,45,0
"8",487,"Alnwick/Haldimand Twp",2009,61,"Alnwick/Haldimand Twp","","2363 County Road 23","K0K2G0","Grafton","","www.alnwickhaldimand.ca","Public or Union Library",6435,2858,0,0,"01/01/2009","12/31/2009","SOLS",1383,0,"Nil",16751,84030,0,9606,3885,848,38428,1515,155063,21357,0,10000,0,31357,40047,2038,73771,2357,7393,2887,3005,6534,7293,0,9738,0,155063,41468,229,0,0,602,0,0,32,0,0,0,0,0,0,0,0,32271,10,0,32271,10,0,730,0,0,730,0,0,40,0,0,27,0,0,0,0,0,0,0,0,18460,23,0,35,0,0,0,0,0,0,0,0,0,0,0,9,85,6,15,8,8,0,8,"Yes","Winnebago Spectrum 5",1,0,0,3,43,0,0,0,0,0,0,0,48436,65,594,568,58,629,271,1019,391,72,0,14,53,20,352,0
"9",12,"Amaranth Twp",2009,43,"Amaranth Twp","","R.R. #7","L9W2Z3","Orangeville","374028 6th Line Amaranth","www.amaranth-eastgary.ca","Contracting Municipality",3445,1345,0,0,"04/01/2009","03/31/2010","",0,0,"Nil",5105,79276,0,0,0,0,0,0,84381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78059,6322,84381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",13,"Armstrong Twp",2009,90,"Armstrong Twp","","C.P. 39","P0J1E0","Earlton","35-10th Street","http://www.olsn.ca/armstrong","Public or Union Library",1155,500,886,393,"01/01/2009","12/31/2009","OLS-N",270,40931,"Surplus",2817,32575,2307,4707,2900,2751,0,600,48657,0,0,0,0,0,4821,1197,28302,184,4273,802,600,473,0,0,0,2259,42911,0,170,89,0,180,106,0,0,0,0,0,0,0,0,0,0,6347,6418,0,6415,6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,2,33,0,0,6,6,0,6,"Yes","Winnebago",1,1,26,0,0,0,0,0,0,0,0,0,147613,1,192,130,0,163,0,187,3,11,0,0,5,0,147,0
