LibID,Library,Year,Upper Tier Code,Legal Name,New Legal Name,Mailing Address,Postal Code,City,Street Address,Library Web Site Address,Library Service Type,Population (Resident),Households (Resident),Population (Contracting),Households (Contracting),Date year starts,Date year ends,Ontario Library Service (OLS) Region,# of Active Library Cardholders,Net Balance brought forward amount,Net Balance brought forward type,Provincial Operating Funding,Local Operating Grant,Contract Revenue,Project Grants,Donations,Self-generated Revenue,Debt Services and Reserve Fund Revenues,Other operating revenue,Total Operating Revenues,Provincial capital revenues,Federal capital revenues,Local capital revenues,Other capital revenues,Total Capital Revenues,General materials expenditure,Electronic materials expenditure,Staffing expenditure,Staff Training expenditure,Facilities/Utilities,Telephone and Fax,Dedicated Internet Connectivity Costs,Computer Services,Debt Charges and Transfers to Reserve Funds,Funds returned to government sources,Contract payment made to library boards for library services,Other expenditures,Total Operating Expenditures,Total Capital Expenditures,Titles Held (Reference - English Language),Titles Held (Reference - French Language),Titles Held (Reference - Other Language),Volumes Held (Reference - English Language),Volumes Held (Reference - French Language),Volumes Held (Reference - Other Language),# of Databases (Reference - English Language),# of Databases (Reference - French Language),# of Databases (Reference - Other Language),# of CD ROM Titles (Reference - English Language),# of CD ROM Titles (Reference - French Language),# of CD ROM Titles (Reference - Other Language),# of copies of CD ROM (Reference - English Language),# of copies of CD ROM (Reference - French Language),# of copies of CD ROM (Reference - Other Language),Titles Held (Circulating - English Language),Titles Held (Circulating - French Language),Titles Held (Circulating - Other Language),Volumes Held (Circulating - English Language),Volumes Held (Circulating - French Language),Volumes Held (Circulating - Other Language),# of CD ROM Titles (Circulating - English Language),# of CD ROM Titles (Circulating - French Language),# of CD ROM Titles (Circulating - Other Language),# of copies of CD ROMs (Circulating - English Language),# of copies of CD ROMs (Circulating - French Language),# of copies of CD ROMs (Circulating - Other Language),Titles Held (Periodicals - English Language),Titles Held (Periodicals - French Language),Titles Held (Periodicals - Other Language),# of Database Subscriptions (Periodicals - English Language),# of Database Subscriptions (Periodicals - French Language),# of Database Subscriptions (Periodicals - Other Language),# of CD ROM Titles (Periodicals - English Language),# of CD ROMs Titles (Periodicals - French Language),# of CD ROM Titles (Periodicals - Other Language),# of copies of CD ROMs (Periodicals - English Language),# of copies of CD ROMs (Periodicals - French Language),# of copies of CD ROMs (Periodicals - Other Language),# of individual electronic periodical titles (English Language),# of individual electronic periodical titles (French Language),# of individual electronic periodical titles (Other Language),# of hours per week in an FTE,Librarians (Full Time - # of people),Library Technicians (Full Time - # of people),EXCEL Graduates  (Full Time - # of people),Other staff (Full Time - # of people),Volunteers (Full Time - # of people),Librarians (Part Time - # of people),Librarians (Part Time - Hours worked),Library Technicians (Part Time - # of people),Library Technicians (Part Time - Hours worked),EXCEL Graduates (Part Time - # of people),EXCEL Graduates (Part Time - Hours worked),Other staff (Part Time - # of people),Other staff (Part Time - Hours worked),Volunteers (Part Time - # of people),Volunteers (Part Time - Hours worked),# of Public access workstations,Workstations with internet access,Workstations with OPAC access,Workstations with CD ROM access,Automated catalogue available,Name of Automated Catalogue System,Does your library provide wireless Internet connection,# of Main Libraries,Main Library - total hours open per week,# of Branches open >= 12 hours per week,Branches open >= 12 hours per week - total hours open per week,# of Branches open < 12 hours per week,Branches open < 12 hours per week - total hours open per week,# of Bookmobile stops,Bookmobile hours per week,# of Deposit Stations,Deposit Station hours per week,# of Bookmobiles,Total Annual Direct Circulation,# of programs held annually,Annual program attendance,# of items borrowed,# of items lent,# of requests made to other libraries,# of requests received from other libraries,Typical Week - Direct circulation,Typical Week - Materials use in library,Typical Week -  # of people using library workstations,Typical Week -  # of times electronic databases accessed,No of people using public library wireless connection,Typical Week -  # of standard reference transactions,Typical Week -  # of electronic reference transactions,Typical Week -  # of library visits made in person,Typical Week -  # of electronic library visits
5,Addington Highlands Twp,2004,57,Addington Highlands Twp,Township of Addington Highlands,Box 72,K0H1P0,Flinton,"3641 Flinton Rd. Flinton, Ontario",www.addingtonhighlandspubliclibrary.ca,Public or Union Library,2099,2600,0,0,01/01/2004,12/31/2004,SOLS,635,10269,Surplus,11434,16800,0,8000,500,3099,0,0,39833,0,0,0,0,0,11716,0,17695,289,1409,1752,0,8109,0,0,0,1801,42771,6681,31,0,0,150,0,0,0,0,0,0,0,0,0,0,0,14412,10,0,14412,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,14,6,14,4,4,0,4,No,,0,1,7,0,0,1,7,0,0,0,0,0,6190,16,129,34,0,34,0,122,0,10,0,0,0,0,57,0
3,Adjala-TosorontioTwp,2004,70,Adjala-TosorontioTwp,,"7855 Sideroad 30, RR # 1",L9R1V1,Alliston,,www.townshipadjtos.on.ca,Contracting Municipality,9963,4032,0,0,04/01/2004,03/31/2005,,0,0,Nil,13821,19822,0,0,0,0,0,0,33643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33577,66,33643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Admaston - Bromley Public Library,2004,69,Admaston - Bromley Public Library,Township of Admaston/Bromley,P O Box 130,K0J1S0,Douglas,5346 Highway 60,http://www.admastonbromleylibrary.com,Public or Union Library,2785,1293,0,0,04/01/2004,03/31/2005,SOLS,472,5844,Surplus,5518,3500,652,4860,258,462,0,0,15250,0,0,0,7000,7000,2501,0,6562,50,1171,1483,0,4000,0,0,0,385,16152,7000,50,0,0,150,0,0,0,0,0,5,0,0,5,0,0,5890,100,0,6080,100,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,8,2,2,4,4,0,3,No,,0,1,10,0,0,0,0,0,0,0,0,0,13585,30,785,0,0,0,0,381,41,125,0,0,16,4,242,0
32,Ajax,2004,10,Ajax,,55 Harwood Ave. South,L1S2H8,Ajax,,www.townofajax.com/library/index.html,Public or Union Library,74907,26035,0,0,01/01/2004,12/31/2004,SOLS,44838,86349,Surplus,154654,2377200,0,14966,969,104497,0,7067,2659353,0,0,25072,0,25072,264811,13342,1930917,17170,251178,26267,0,30000,0,0,0,110848,2644533,25072,2527,12,0,5863,36,0,0,0,0,37,0,0,38,0,0,133368,3866,3602,164041,4157,3697,342,0,0,400,0,0,180,2,4,6,0,0,0,0,0,0,0,0,4668,0,0,35,4,2,0,7,0,0,0,0,0,0,0,54,720,0,0,53,33,17,4,Yes,Horizon,0,1,62,2,86,0,0,0,0,0,0,0,636442,1174,18592,559,897,692,5341,11999,2845,1266,113,0,1085,219,6705,1763
390,Alderville FN,2004,61,Alderville FN,,P.O. Box 46,K0K2X0,Roseneath,"11696 Second Line Road, Alderville, Ontario",http://aldervillelearningcentre.com/index.php/library.html,First Nations Library,300,0,0,0,04/01/2004,03/31/2005,SOLS,119,0,Nil,1329,5517,0,20162,7821,450,0,0,35279,0,0,0,0,0,7582,200,18578,876,3019,1200,350,764,0,210,0,2500,35279,0,272,0,0,302,0,0,0,0,0,15,0,0,16,0,0,3708,0,399,3794,0,433,7,0,0,7,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,3,3,3,3,Yes,STACKS,0,1,20,0,0,0,0,0,0,0,0,0,2312,16,130,91,1,116,1,92,34,8,0,0,3,0,44,0
4,Alfred & Plantagenet Twp,2004,67,Alfred & Plantagenet Twp,Township of Alfred & Plantagenet,C.P. 10,K0B1J0,Lefaivre,"1963, rue de l'Hôtel de Ville, C.P. 10, Lefaivre ON",www.alfred-plantagenet.ca,Public or Union Library,8002,3596,0,0,01/01/2004,12/31/2004,SOLS,2576,8510,Surplus,15665,146891,0,0,1691,3602,2000,15000,184849,0,0,0,0,0,34983,0,79296,2388,24795,4145,0,0,0,0,8379,540,154526,17846,30,177,1,265,553,1,0,0,0,1,1,0,1,1,0,4777,25303,0,6711,27840,0,0,0,0,0,0,0,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1,25,1,16,7,60,9,20,23,23,21,23,Yes,Mandarin,0,0,0,3,43,2,19,0,0,0,0,0,30957,8,381,329,0,351,0,708,180,83,29,0,19,8,299,92
391,Algonquins of Pikwakanagon FN,2004,69,Algonquins of Pikwakanagon FN,,1657A Mishomis Inamo,K0J1X0,Golden Lake,,www.algonquinsof pikwakanagan.com/Education%20library%20 2004.htm,First Nations Library,404,0,0,0,04/01/2004,03/31/2005,SOLS,401,3300,Surplus,2388,3011,0,13000,0,0,0,0,18399,0,0,0,0,0,2831,400,16139,0,1200,986,0,37,0,0,0,106,21699,0,164,0,0,267,0,0,0,0,0,41,0,0,41,0,0,4102,0,0,4167,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,7,7,0,7,Yes,winnebego spectrum,0,1,20,0,0,0,0,0,0,0,0,0,3302,16,96,0,0,0,0,165,76,54,0,0,25,0,88,0
487,Alnwick/Haldimand Twp,2004,61,Alnwick/Haldimand Twp,,2363 County Road 23,K0K2G0,Grafton,,www.alnwickhaldimand.ca,Public or Union Library,5527,2939,0,0,01/01/2004,12/31/2004,SOLS,2309,0,Nil,16751,80411,0,12000,1150,1686,9000,0,120998,0,0,0,0,0,43708,0,44825,730,0,5341,0,2059,0,0,0,9820,106483,14515,396,0,0,646,0,0,0,0,0,12,0,0,12,0,0,29029,0,0,29343,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,43,0,0,3,23,2,10,6,6,0,6,Yes,Winnebago/Spectrum,0,0,0,1,12,2,20,0,0,0,0,0,25753,6,225,437,0,481,0,556,120,36,0,0,31,16,162,0
12,Amaranth Twp,2004,43,Amaranth Twp,,R.R. #7,L9W2Z3,Orangeville,374028 6th Line Amaranth,www.amaranth-eastgary.ca,Contracting Municipality,3570,1294,0,0,01/01/2004,12/31/2004,,0,0,Nil,5167,76986,0,0,0,0,0,0,82153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77658,4495,82153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Armstrong Twp,2004,90,Armstrong Twp,,C.P. 39,P0J1E0,Earlton,35-10th Street,http://www.olsn.ca/armstrong,Public or Union Library,1265,524,337,142,01/01/2004,12/31/2004,OLS-N,935,21338,Surplus,2817,20771,861,4000,1885,1566,0,0,31900,0,0,0,0,0,4838,315,18400,262,1319,692,150,3996,0,0,0,0,29972,0,26,77,0,188,351,0,0,0,0,0,0,0,0,0,0,873,799,0,5208,5414,0,0,0,0,0,0,0,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,18,0,0,0,0,1,15,0,0,8,8,2,8,Yes,WinnageboDOS,0,1,29,0,0,0,0,0,0,0,0,0,75837,0,0,0,0,98,53,436,148,18,0,0,28,0,167,0
