LibID,Library,Year,Upper Tier Code,Legal Name,New Legal Name,Mailing Address,Postal Code,City,Street Address,Library Web Site Address,Library Service Type,Population (Resident),Households (Resident),Population (Contracting),Households (Contracting),Date year starts,Date year ends,Ontario Library Service (OLS) Region,# of Active Library Cardholders,Net Balance brought forward amount,Net Balance brought forward type,Provincial Operating Funding,Local Operating Grant,Contract Revenue,Project Grants,Donations,Self-generated Revenue,Debt Services and Reserve Fund Revenues,Other operating revenue,Total Operating Revenues,Provincial capital revenues,Federal capital revenues,Local capital revenues,Other capital revenues,Total Capital Revenues,General materials expenditure,Electronic materials expenditure,Staffing expenditure,Staff Training expenditure,Facilities/Utilities,Telephone and Fax,Dedicated Internet Connectivity Costs,Computer Services,Debt Charges and Transfers to Reserve Funds,Funds returned to government sources,Contract payment made to library boards for library services,Other expenditures,Total Operating Expenditures,Total Capital Expenditures,Titles Held (Reference - English Language),Titles Held (Reference - French Language),Titles Held (Reference - Other Language),Volumes Held (Reference - English Language),Volumes Held (Reference - French Language),Volumes Held (Reference - Other Language),# of Databases (Reference - English Language),# of Databases (Reference - French Language),# of Databases (Reference - Other Language),# of CD ROM Titles (Reference - English Language),# of CD ROM Titles (Reference - French Language),# of CD ROM Titles (Reference - Other Language),# of copies of CD ROM (Reference - English Language),# of copies of CD ROM (Reference - French Language),# of copies of CD ROM (Reference - Other Language),Titles Held (Circulating - English Language),Titles Held (Circulating - French Language),Titles Held (Circulating - Other Language),Volumes Held (Circulating - English Language),Volumes Held (Circulating - French Language),Volumes Held (Circulating - Other Language),# of CD ROM Titles (Circulating - English Language),# of CD ROM Titles (Circulating - French Language),# of CD ROM Titles (Circulating - Other Language),# of copies of CD ROMs (Circulating - English Language),# of copies of CD ROMs (Circulating - French Language),# of copies of CD ROMs (Circulating - Other Language),Titles Held (Periodicals - English Language),Titles Held (Periodicals - French Language),Titles Held (Periodicals - Other Language),# of Database Subscriptions (Periodicals - English Language),# of Database Subscriptions (Periodicals - French Language),# of Database Subscriptions (Periodicals - Other Language),# of CD ROM Titles (Periodicals - English Language),# of CD ROMs Titles (Periodicals - French Language),# of CD ROM Titles (Periodicals - Other Language),# of copies of CD ROMs (Periodicals - English Language),# of copies of CD ROMs (Periodicals - French Language),# of copies of CD ROMs (Periodicals - Other Language),# of individual electronic periodical titles (English Language),# of individual electronic periodical titles (French Language),# of individual electronic periodical titles (Other Language),# of hours per week in an FTE,Librarians (Full Time - # of people),Library Technicians (Full Time - # of people),EXCEL Graduates  (Full Time - # of people),Other staff (Full Time - # of people),Volunteers (Full Time - # of people),Librarians (Part Time - # of people),Librarians (Part Time - Hours worked),Library Technicians (Part Time - # of people),Library Technicians (Part Time - Hours worked),EXCEL Graduates (Part Time - # of people),EXCEL Graduates (Part Time - Hours worked),Other staff (Part Time - # of people),Other staff (Part Time - Hours worked),Volunteers (Part Time - # of people),Volunteers (Part Time - Hours worked),# of Public access workstations,Workstations with internet access,Workstations with OPAC access,Workstations with CD ROM access,Automated catalogue available,Name of Automated Catalogue System,Does your library provide wireless Internet connection,# of Main Libraries,Main Library - total hours open per week,# of Branches open >= 12 hours per week,Branches open >= 12 hours per week - total hours open per week,# of Branches open < 12 hours per week,Branches open < 12 hours per week - total hours open per week,# of Bookmobile stops,Bookmobile hours per week,# of Deposit Stations,Deposit Station hours per week,# of Bookmobiles,Total Annual Direct Circulation,# of programs held annually,Annual program attendance,# of items borrowed,# of items lent,# of requests made to other libraries,# of requests received from other libraries,Typical Week - Direct circulation,Typical Week - Materials use in library,Typical Week -  # of people using library workstations,Typical Week -  # of times electronic databases accessed,No of people using public library wireless connection,Typical Week -  # of standard reference transactions,Typical Week -  # of electronic reference transactions,Typical Week -  # of library visits made in person,Typical Week -  # of electronic library visits
215,"North Shore, Corporation of the Township of the",2006,80,"North Shore, Corporation of the Township of the",,P.O. Box 108,P0R1A0,Algoma Mills,1385 Hwy. 17,www.townshipofthenorthshore.ca,Contracting Municipality,554,404,0,0,04/01/2006,03/31/2007,,0,0,Nil,2007,0,0,0,0,0,0,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Northeastern Manitoulin and the Islands,2006,83,Northeastern Manitoulin and the Islands,Town of Northeastern Manitoulin and the Islands,P.O. Box 790,P0P1K0,Little Current On,50 Meredith Street West,http://www.nemilib.vianet.ca/,Public or Union Library,2315,2030,0,0,01/01/2006,12/31/2006,OLS-N,603,0,Nil,10720,59103,0,20011,11734,5671,0,0,107239,0,0,0,0,0,20272,0,38910,0,30113,931,1364,8026,0,0,0,0,99616,0,134,0,0,166,0,0,6,0,0,9,0,0,9,0,0,12743,0,0,12840,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1,18,0,0,1,23,3,11,1,2,4,4,0,4,Yes,Winnabego Spectrum 5,0,1,36,0,0,0,0,0,0,0,0,0,14200,4,40,200,0,215,200,293,41,21,0,0,10,0,117,0
247,Oakville,2006,14,Oakville,,120 Navy Street,L6J2Z4,Oakville,,www.opl.on.ca,Public or Union Library,144128,54020,0,0,04/01/2006,03/31/2007,OLS-N,74765,0,Nil,182453,7038712,0,23337,73059,387119,30000,0,7734680,0,0,0,0,0,668303,104500,5704018,52219,615580,20440,0,0,81790,17119,0,470711,7734680,0,2878,0,0,16541,0,0,29,0,0,3,0,0,3,0,0,163487,7222,2179,372408,13301,3149,492,0,0,2186,0,0,298,9,4,29,0,0,0,0,0,0,0,0,12800,0,0,35,11,16,0,23,0,11,165.9,8,137.1,0,0,132,1931.9,215,0,116,104,104,12,Yes,Horizon,0,1,65,4,252,0,0,0,0,0,0,0,2108653,2086,52083,2184,4050,2356,2184,43392,6110,4584,1585,0,2432,17,41786,12487
248,O'Connor Twp,2006,89,O'Connor Twp,,R.R. #1,P0T1W0,Kakabeka Falls,330 Hwy 595,www.oconnortownship.ca,Contracting Municipality,726,286,0,0,01/01/2006,12/31/2006,,0,0,Nil,1220,0,0,0,0,0,0,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,Ojibways of Onegaming FN,2006,89,Ojibways of Onegaming FN,,P.O. Box 509,P0X1K0,Nestor Falls,"Mikinaak Road, 212 Mikinaak Onigaming School",www.voyageur.ca/~ojibonig/,First Nations Library,436,0,0,0,04/01/2006,03/31/2007,OLS-N,188,0,Nil,849,2437,0,23500,0,0,0,0,26786,0,0,0,0,0,5226,0,15041,382,2437,0,0,0,0,0,0,0,23086,0,9,0,0,159,0,0,0,0,0,3,0,1,3,0,1,3905,0,0,4270,0,0,1,0,1,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,4,3,0,3,No,,0,1,20,0,0,0,0,0,0,0,0,0,3314,135,1784,1,0,1,0,80,0,9,0,0,2,0,119,0
456,Ojibways of the Pic Rivers FN,2006,89,Ojibways of the Pic Rivers FN,,P. O. Box 216,P0T1R0,Heron Bay,21 Rabbit Drive,,First Nations Library,481,0,0,0,04/01/2006,03/31/2007,OLS-N,125,0,Nil,1249,0,0,52900,0,0,0,0,54149,0,0,0,0,0,4934,0,41961,1452,0,0,0,0,0,0,0,186,48533,0,25,0,0,129,0,0,0,0,0,7,0,0,7,0,0,2200,0,0,2320,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,No,,0,1,35,0,0,0,0,0,0,0,0,0,1700,4,148,0,0,0,0,72,95,32,0,0,4,0,61,0
165,Oliver Paipoonge,2006,89,Oliver Paipoonge,Municipality of Oliver Paipoonge,P.O.Box 26,P0T2G0,Murillo,#1 Baxendale Drive,www.olsn.ca/oplibrary,Public or Union Library,5749,2109,3213,1698,04/01/2006,03/31/2007,OLS-N,436,13215,Surplus,11917,8100,7196,22914,125,3896,0,0,54148,0,0,0,0,0,1354,0,30081,997,6100,1517,1407,180,0,0,0,4561,46197,0,154,0,0,297,0,0,0,0,0,0,0,0,0,0,0,8699,0,0,8699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,10,3,26,0,0,8,8,0,8,No,,0,1,18,1,14,0,0,0,0,0,0,0,7797,1,30,332,0,377,0,156,12,124,0,0,40,0,153,0
250,Opasatika Twp,2006,81,Opasatika Twp,,P.O. Box 100,P0L1Z0,Opasatika,6 St Antoine Street,https://sites.google.com/site/bibliothequeopasatika/,Public or Union Library,310,148,0,0,01/01/2006,12/31/2006,OLS-N,191,0,Nil,1043,0,0,15116,0,145,0,0,16304,0,0,0,0,0,9146,0,17302,0,0,0,0,1038,0,0,0,0,27486,0,1,26,0,22,300,0,0,0,0,3,1,0,7,1,0,40,148,0,2068,10544,0,5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,20,15,30,4,4,0,4,No,,0,1,20,0,0,0,0,0,0,0,0,0,1461,16,290,0,0,0,0,120,50,6,12,0,24,12,33,12
74,Orangeville,2006,43,Orangeville,,1 Mill Street,L9W2M2,Orangeville,,www.orangeville.library.on.ca,Public or Union Library,27865,9642,0,0,01/01/2006,12/31/2006,SOLS,5759,-7942,Deficit,30708,1099000,0,1813,3200,73109,0,0,1207830,0,0,150109,0,150109,176259,2000,865310,1329,96255,6984,0,7829,0,0,0,28977,1184943,139794,785,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,62698,134,0,66921,134,0,0,0,0,0,0,0,160,0,0,1,0,0,0,0,0,0,0,0,1950,0,0,35,2,1,0,4,0,0,0,0,0,0,0,15,20,0,0,17,12,4,2,Yes,Dynix Horizon,0,1,47,1,30,0,0,0,0,0,0,0,178652,354,5525,567,462,581,1196,3247,600,154,26,0,200,54,1519,0
23,Orillia,2006,70,Orillia,,500 Gill Street,L3V4L1,Orillia,,http://www.orilliapubliclibrary.ca,Public or Union Library,30424,12927,7552,4182,01/01/2006,12/31/2006,SOLS,14378,23852,Surplus,51394,1160165,176285,1151,5009,32462,0,0,1426466,0,0,740,0,740,122483,23820,1061483,5678,87312,5511,4077,51210,0,0,0,56397,1417971,0,6140,0,0,7665,0,0,7,0,0,0,0,0,0,0,0,117978,1224,0,129775,1348,0,190,0,0,190,0,0,405,0,0,7,0,0,0,0,0,0,0,0,2918,0,0,36.5,3,1,0,7,0,3,56.5,4,88,0,0,10,133,71,54,19,11,8,11,Yes,Infor Advance 6.7,0,1,59,0,0,0,0,0,0,0,0,0,247177,364,11789,1859,2416,2029,4106,4661,798,431,283,0,506,1,8513,247
